/* Opcode (contrl [0]), SubFunc (contrl [5]), intin [0], Funcname */
/* -1,    2, v_get_driver_info (device_id, info_select, info_string)
/* -1,    3, v_set_app_buff (address, nparagraphs)
114,    0,  0, vr_recfl (vdi_handle, xy)
115,    0,  0, vqin_mode (vdi_handle, dev_type, mode)
116,    0,  0, vqt_extent (vdi_handle, string, extent)
117,    0,  0, vqt_width (vdi_handle, character, cell_width, left_delta, right_delta)
118,    0,  0, vex_timv (vdi_handle, tim_addr, old_addr, scale)
119,    0,  0, vst_ex_load_fonts (vdi_handle, select, font_max, font_free)
119,    0,  0, vst_load_fonts (vdi_handle, select)
120,    0,  0, vst_unload_fonts (vdi_handle, select)
121,    0,  0, vrt_cpyfm (vdi_handle, wr_mode, xy, srcMFDB, desMFDB, index)
122,    0,  0, v_show_c (vdi_handle, reset)
123,    0,  0, v_hide_c (vdi_handle)
124,    0,  0, vq_mouse (vdi_handle, status, px, py)
125,    0,  0, vex_butv (vdi_handle, usercode, savecode)
126,    0,  0, vex_motv (vdi_handle, usercode, savecode)
127,    0,  0, vex_curv (vdi_handle, usercode, savecode)
128,    0,  0, vq_key_s (vdi_handle, status)
129,    0,  0, vs_clip (vdi_handle, clip_flag, xy)
130,    0,  0, vqt_name (vdi_handle, element_num, name)
131,    0,  0, vqt_font_info (vdi_handle, minADE, maxADE, distances, maxwidth, effects)
132,    0,  0, vqt_justified (vdi_handle, x, y, string, length, word_space, char_space, offset)
133,    0,  0, vs_grayoverride (vdi_handle, grayval)
134,    0,  0, v_pat_rotate (vdi_handle, angle)
