ONLINE T-Online	Sun Dec 07 23:06:22 1997
OFFLINE T-Online	Sun Dec 07 23:06:32 1997
ONLINE T-Online	Sun Dec 07 23:09:10 1997
OFFLINE T-Online	Sun Dec 07 23:23:48 1997
ONLINE T-Online	Sun Dec 07 23:33:36 1997
OFFLINE T-Online	Sun Dec 07 23:38:52 1997
ONLINE T-Online	Sun Dec 07 23:42:48 1997
OFFLINE T-Online	Sun Dec 07 23:43:44 1997
ONLINE T-Online	Sun Dec 07 23:47:16 1997
OFFLINE T-Online	Sun Dec 07 23:47:44 1997
ONLINE T-Online	Sun Dec 07 23:54:58 1997
OFFLINE T-Online	Sun Dec 07 23:55:04 1997
ONLINE T-Online	Mon Dec 08 00:17:08 1997
OFFLINE T-Online	Mon Dec 08 00:18:32 1997
ONLINE T-Online	Mon Dec 08 00:48:46 1997
OFFLINE T-Online	Mon Dec 08 00:50:02 1997
ONLINE T-Online	Mon Dec 08 04:29:54 1997
OFFLINE T-Online	Mon Dec 08 04:34:02 1997
ONLINE Vaihingen Test PPP	Tue Dec 09 18:14:44 1997
OFFLINE Vaihingen Test PPP	Tue Dec 09 18:24:12 1997
ONLINE T-Online	Tue Dec 09 22:20:32 1997
OFFLINE T-Online	Tue Dec 09 22:22:08 1997
ONLINE Vaihingen Test PPP	Tue Dec 09 22:23:48 1997
OFFLINE Vaihingen Test PPP	Tue Dec 09 22:25:38 1997
ONLINE Vaihingen Test PPP	Tue Dec 09 22:31:58 1997
OFFLINE Vaihingen Test PPP	Tue Dec 09 22:34:04 1997
ONLINE T-Online	Tue Dec 09 23:13:06 1997
OFFLINE T-Online	Tue Dec 09 23:16:18 1997
ONLINE T-Online	Tue Dec 09 23:30:16 1997
OFFLINE T-Online	Tue Dec 09 23:30:24 1997
ONLINE T-Online	Tue Dec 09 23:31:28 1997
OFFLINE T-Online	Tue Dec 09 23:33:46 1997
ONLINE T-Online	Wed Dec 10 00:02:12 1997
OFFLINE T-Online	Wed Dec 10 00:05:04 1997
ONLINE T-Online	Wed Dec 10 00:31:08 1997
OFFLINE T-Online	Wed Dec 10 00:31:10 1997
ONLINE T-Online	Wed Dec 10 00:32:52 1997
OFFLINE T-Online	Wed Dec 10 00:35:04 1997
ONLINE T-Online	Wed Dec 10 00:41:50 1997
OFFLINE T-Online	Wed Dec 10 00:46:02 1997
ONLINE T-Online	Wed Dec 10 00:57:54 1997
OFFLINE T-Online	Wed Dec 10 01:01:58 1997
ONLINE T-Online	Wed Dec 10 01:07:04 1997
OFFLINE T-Online	Wed Dec 10 01:08:54 1997
ONLINE Vaihingen Test PPP	Wed Dec 10 01:32:32 1997
OFFLINE Vaihingen Test PPP	Wed Dec 10 01:34:36 1997
ONLINE Vaihingen Test PPP	Wed Dec 10 01:38:54 1997
OFFLINE Vaihingen Test PPP	Wed Dec 10 01:41:18 1997
ONLINE T-Online	Wed Dec 10 01:44:10 1997
OFFLINE T-Online	Wed Dec 10 01:46:50 1997
ONLINE T-Online	Wed Dec 10 01:56:48 1997
OFFLINE T-Online	Wed Dec 10 01:58:38 1997
ONLINE T-Online	Wed Dec 10 02:04:04 1997
OFFLINE T-Online	Wed Dec 10 02:05:36 1997
ONLINE T-Online	Wed Dec 10 02:10:34 1997
ONLINE T-Online	Wed Dec 10 02:21:38 1997
OFFLINE T-Online	Wed Dec 10 02:23:10 1997
ONLINE T-Online	Wed Dec 10 02:29:48 1997
OFFLINE T-Online	Wed Dec 10 02:32:30 1997
ONLINE T-Online	Wed Dec 10 02:58:10 1997
OFFLINE T-Online	Wed Dec 10 02:59:34 1997
ONLINE T-Online	Wed Dec 10 03:13:40 1997
OFFLINE T-Online	Wed Dec 10 03:16:00 1997
ONLINE T-Online	Wed Dec 10 03:33:08 1997
OFFLINE T-Online	Wed Dec 10 03:34:28 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 04:19:36 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 04:20:14 1997
