
*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*

ð Liste des 423 boots reconnus par La bibliothŠque v 4.23 
ð DerniŠres modifs: 12 Janvier 1999

*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*


---------------------------------------------------------------------------
ð Utilitaires [021] 
---------------------------------------------------------------------------

 133 - VIRUS KICKER 2                       Jedi & Ultimatum/Thk
 134 - VIRUS KICKER 3                       Jedi/Thk
 135 - V. KILLER 1.2                        Leonard
 136 - VIRUSKILL                            ???
 137 - VIRUS PROTECTOR 1.42                 Imagina
 138 - VIRUS REPORT                         ???
 139 - VIRUSSCOPE                           A. Griesert
 140 - VKILLER 3 DISPLAY                    Georges R. Woodside
 141 - VKILLER 3 GUARDIAN                   Georges R. Woodside
 142 - ZUUL BOOTBOOM 1.0                    Ken/Zuul


---------------------------------------------------------------------------
ð Jeux [002] 
---------------------------------------------------------------------------

 001 - DNT GAME BOOT                        Nullos/Dnt Crew
 002 - INVERTIX                             Titan/Animal Mine


---------------------------------------------------------------------------
ð Boots sp‚cifiques au FALCON 030 [012]	 
---------------------------------------------------------------------------

 001 - DMV FALCONBOOT 1.0                   Dmviolator/Binaris
 002 - DMV FALCONBOOT 2.0                   Dmviolator/Binaris
 003 - FALCON 030 FREE                      ???
 004 - FALCON BOOT 1.0                      Mike/Sinister Developments
 005 - LOADING FALCON TOS                   ???
 006 - MAGI BOOT                            Tc7                           
 007 - MANDY BOOT                           Nullos/Dnt Crew
 008 - STATIC PLASMA                        Nullos/Dnt Crew
 009 - STE 2 FALCON BOOT                    Splash                 
 010 - VERTICONF BOOT 1.3                   Nullos/Dnt Crew
 011 - VERTICONF BOOT 1.4                   Nullos/Dnt Crew
 012 - VERTICONF BOOT 1.6                   Nullos/Dnt Crew


---------------------------------------------------------------------------
ð Boots de d‚mos, m‚gad‚mos [103] 
---------------------------------------------------------------------------

 001 - ACIIEED DEMO                         Omega
 002 - AENIGMATICA DEMO                     Aenigmatica
 003 - AMIGA DEMO                           Tex
 004 - ANGST DEMO                           Delta Force
 005 - ATARI STE DEMO                       Atari
 006 - BADTASTE DEMO                        Brainless Institute
